Timestamp,When was your first Christmas Festival?,What choir did you sing in?,What was your (main) voice part?,Love Divine p1 [Elgar- Variations on an Original Theme (Nimrod) (ORCH)],Love Divine p1 [In a Deep Unbounded Darkness- Aaspas],Love Divine p1 [ Carol of the Advent- JBobb],Love Divine p1 [God is Love (HYMN)],Love Divine p1 [Beethoven- Mount of Olives (Hallelujah)],Love Divine p1 [Rachmoninov- Vigil Op. 37 (OLE)],"Love Divine p1 [Lo, How a Rose E'er Blooming (VK)]",Love Divine part 2 [Llega la Navidad! (CAN)],Love Divine part 2 [Holy Child (MNT)],Love Divine part 2 [Silent Night (CHA)],Love Divine part 2 [God's Love Made Visible (HYMN)],Love Divine part 2 [Good Christian Friends Rejoice!],Love Divine part 2 [Christus Natus Est],"Love Divine part 2 [Go, Tell it On the Mountain (MNT)]",Love Divine part 3 [Love Came Down (CAN)],"Love Divine part 3 [God Rest Ye Merry, Gentlemen (VK)]",Love Divine part 3 [In Silent Night (OC)],Love Divine part 3 [Mary's Little Boy Chile (OC)],Love Divine part 3 [Gloria (CHA)],Love Divine part 3 [Past 3 o'Clock ],Love Divine part 3 [Angel's Dance (ORCH)],"Love Divine part 4
 [Carols for the Choirs (MED)]","Love Divine part 4
 [Angels we have Heard on High (HYMN)]","Love Divine part 4
 [Praise to the Lord]","Love Divine part 4
 [Light Dawns on a Weary World]","Love Divine part 4
 [Love Divine]","Love Divine part 4
 [Nunc Dimittis]","Love Divine part 4
 [Beautiful Saviour]",What choir did you sing in?,What was your (main) voice part?,Promise of Peace Part 1 [Noel / Symphonic Sketches (ORCH)],Promise of Peace Part 1 [Holst- The Heart Worships],Promise of Peace Part 1 [Awake! Awake! and Greet the New Morn (HYMN)],Promise of Peace Part 1 [Awake the Harp!],Promise of Peace Part 1 [The Song of Peace (OC)],Promise of Peace Part 1 [Keep your Lamps (VK)],Promise of Peace Part 1 [I will Make a Way (CHA)],Promise of Peace Part 2 [O Day of Peace (vv. 1 and 2)],Promise of Peace Part 2 [Earth strike Up your Music! (CAN)],Promise of Peace Part 2 [Hodie Christus Natus Est  (MNT)],Promise of Peace Part 2 [This Little Light of Mine (OC)],Promise of Peace Part 2 [Carol of the Bells (OC)],Promise of Peace Part 2 [Sir Chistemas ],Promise of Peace Part 2 [Overture- Nutcracker (ORCH)],Promise of Peace Part 3 [Carol of the Stranger (MED)],Promise of Peace Part 3 [It Came Upon a Midnight Clear (HYMN)],Promise of Peace Part 3 [Psalm 50],Promise of Peace Part 3 [Dona Nobis Pacem],Promise of Peace Part 3 [Stay with Us],Promise of Peace Part 3 [Beautiful Saviour],What choir do you sing in?,What is your (main) voice part?,"Love and Joy Come to You pt 1 
(tentative) [Glorification]","Love and Joy Come to You pt 1 
(tentative) [O Holy Night]","Love and Joy Come to You pt 1 
(tentative) [As the Dark Awaits the Dawn]","Love and Joy Come to You pt 1 
(tentative) [Jauchzet, Frohlocket]","Love and Joy Come to You pt 1 
(tentative) [In the Bleak Midwinter]","Love and Joy Come to You pt 1 
(tentative) [Love and Joy, Come to You?]","Love and Joy Come to You pt 1 
(tentative) [Welcome All Wonders]","FEEDBACK: Any thoughts, questions, or suggestions for this form?","Love and Joy Come to You pt 2 
 [Hodie, Christus Natus Est (CAN)]","Love and Joy Come to You pt 2 
 [O Magnum Mysterium (VIK)]","Love and Joy Come to You pt 2 
 [Beautiful Saviour]","Love and Joy Come to You pt 2 
 [Rejoice, Rejoice, Believers (HYMN)]","Love and Joy Come to You pt 2 
 [Love has Come (HYMN)]","Love and Joy Come to You pt 2 
 [Good Christian Friends, Rejoice (HYMN)]","Love and Joy Come to You pt 2 
 [Joy to the World (HYMN)]",Promise of Peace Part 3 [Hark the Herald Angels Sing],"In what category is your primary major, or intended major?",Score,Any other comments? (2021),"Any other comments?  (2022)
","Any other comments? (2023)
","Love and Joy Come to You pt 2 
 [Gloria (CHA)]","Love and Joy Come to You pt 2 
 [Summer in Winter Carol (OC)]","Love and Joy Come to You pt 2 
 [Corde Natus Est (OC)]","Love and Joy Come to You pt 2 
 [Glory, Hallelujah to the Newborn King (OC)]","Love and Joy Come to You pt 3
 [Hodie, Christus Natus Est (CAN)]","Love and Joy Come to You pt 3
 [Gloria (CHA)]","Love and Joy Come to You pt 3
 [Summer in Winter Carol (OC)]","Love and Joy Come to You pt 3
 [Corde Natus Est (OC)]","Love and Joy Come to You pt 3
 [Glory, Hallelujah to the Newborn King (OC)]","Love and Joy Come to You pt 3
 [Be Thou my Vision (?)]","Love and Joy Come to You pt 3
 [Rejoice, Rejoice, Believers (HYMN)]","Love and Joy Come to You pt 3
 [Love has Come (HYMN)]","Love and Joy Come to You pt 3
 [Good Christian Friends, Rejoice (HYMN)]","Love and Joy Come to You pt 3
 [Joy to the World (HYMN)]","Love and Joy Come to You pt 3
 [Beautiful Saviour]","Love and Joy Come to You pt 2 
 [Ogo Ni Fum Oluwa (MNT)]","Love and Joy Come to You pt 3
 [Love and Joy, Come to You (MED)]","Love and Joy Come to You pt 3
 [Be Thou my Vision (?)]","Love and Joy Come to You pt 2 
 [Lo How a Rose (ORCH)]","Love and Joy Come to You pt 2 
 [Winter Night (ORCH)]"
11/15/2023 19:00:27,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S+,S+,S+,S+,S+,S+,S+,"A little hard to track what S+, S A etc",,,,,,,,,Sociology/Anthropology,,,,nope,,,,,,,,,,,,,,,S+,S+,,,,
11/15/2023 19:03:22,2021 or before,Manitou Singers,Soprano 1,B,A,A,B,S+,A,C,C,A,A,C,C,S+,A,C,C,A,A,C,B,B,B,A,S+,S+,C,A,S+,Cantorei,Soprano 1,A,S,C,A,,B,A,B,A,C,A,A,A,S+,A,C,S+,S+,A,S+,Cantorei,Soprano 1,S+,S+,C,D,A,A,S+,,B,,,,,,,S,Humanities,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2023 19:33:44,2021 or before,St. Olaf Orchestra,N/A,B,,S,,S+,F,D,S+,,,,,,S,S,,A,,,S+,F,,S+,,,,S+,S+,St. Olaf Orchestra,N/A,S,,,,,,,,,,S+,,,S+,,S,,,D,,St. Olaf Orchestra,,B,,,S+,,F,F,,,,,,,,,S,Music - Other,,,,,,,,,,,,,,,,,,,,,,,F,A
11/15/2023 19:33:47,2021 or before,Manitou Singers,Alto 1,S,S,C,C,S+,S+,A,S,A,S,B,C,S+,D,A,A,S+,S+,S,S+,A,S,B,S,C,B,S+,S,St. Olaf Choir,Alto 1,A,A,B,S,S+,A,B,B,S+,B,S,B,B,B,S+,S,S+,S,B,S,St. Olaf Choir,Alto 1,S+,S,A,S,S,A,A,,,,,,,,,B,STEM,,,,,,A,S+,S+,,,,,,,,,,,S,,A,,,
11/15/2023 19:46:04,2021 or before,Manitou Singers,Alto 1,S+,S,B,C,B,B,B,B,A,S,S,C,S+,S+,B,B,B,S+,A,A,S+,A,B,A,S+,A,B,B,St. Olaf Choir,Alto 2,A,B,C,B,A,S+,S+,B,S,S+,A,S+,A,S+,S+,B,A,A,A,A,Cantorei,,S+,B,D,B,D,C,D,,A,,,,,,,B,"Music - Vocal, Education",,,,,,,,,,,,,,,,,,,,,,,,
11/15/2023 19:48:57,2021 or before,Chapel Choir,Alto 2,S,A,C,D,D,S,A,B,A,S+,D,F,S+,B,B,A,S+,B,S+,C,A,A,B,S+,S+,B,S+,S+,Chapel Choir,Alto 2,S+,S+,C,C,S,A,S,B,B,A,B,C,B,S+,S+,C,S+,C,S+,S+,Chapel Choir,Alto 2,S,S+,S+,A,S,B,F,,,S,,,,,,S,Music - Other,,"BANGER year. Of the three I've been in, this has the most songs that I want to sing again.",Carol of the Stranger was my fave this year,,S,,,,,,,,,,F,F,F,S,S+,,S,S+,S+,S+
11/15/2023 19:54:19,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Tenor 2,C,B,B,A,A,C,S,C,C,C,A,S+,C,S+,S,B,A,S,S,S+,Cantorei,Tenor 2,A,A,S,C,A,B,D,,B,C,,,,,,B,STEM,,,,,C,S,S,S,,,,,,,C,C,C,B,S+,B,B,C,A,S
11/15/2023 19:56:07,2021 or before,St. Olaf Orchestra,N/A,S+,,,,,,,,,A,,,,S,,,A,,,A,,,A,,,S,,S,St. Olaf Orchestra,N/A,,,,,,,,,,,,,,S+,,,,,,,St. Olaf Orchestra,N/A,,,,,,,,,,,,,,,,,"Music - Other, Humanities, Fine Arts / Performing Arts",,,,,,,,,,,,,,,,,,,,,,,,
11/15/2023 20:24:46,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Olaf Orchestra,N/A,,B,,B,B,B,C,,,,,,,,,,Nursing,,,,,,,,,,,,,,,S,S,S,S+,S+,,B,S+,D,B
11/15/2023 20:26:03,2021 or before,Manitou Singers,Soprano 2,S+,A,A,C,B,B,B,B,A,B,C,C,S+,S+,B,A,B,S+,A,C,S,S+,C,S+,S,C,S+,S+,Chapel Choir,Soprano 2,S,A,C,D,C,A,S+,C,C,C,C,S+,S+,S+,S+,C,S+,S+,C,S+,St. Olaf Choir,Soprano 2,S+,S,S+,D,D,S+,S+,,F,B,,,,,,C,"Music - Vocal, Education",,,,,F,S+,S+,S+,,,,,,,C,C,C,S+,S+,B,S+,B,S+,S+
11/15/2023 20:33:24,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S+,S,B,A,C,C,B,,,,,,,,,,"Music - Vocal, Fine Arts / Performing Arts, Education",,,,,,,,,,,,,,,C,C,C,C,S,A,B,C,,
11/15/2023 20:48:06,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,B,A,B,A,B,S,C,,,,,,,,,,STEM,,,,,,,,,,,,,,,C,,,,S,B,A,A,,
11/15/2023 20:56:44,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 2,A,A,S,S,A,S+,A,B,S,A,A,S+,D,S+,S+,S,S,S,A,S+,Cantorei,Bass 2,S,S+,B,C,A,S,C,It was difficult to rate the songs we haven't heard from other choirs this year.,A,B,,,,,,S+,"STEM, Humanities",,,N/A,N/A,B,B,B,A,,,,,,,S,S,S+,S+,S+,C,S+,S+,S,S
11/15/2023 20:59:45,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S,S+,A,A,B,A,B,,,,,,,,,,STEM,,,,,,,,,,,,,,,A,A,A,A,A,B,A,A,,
11/15/2023 21:52:47,2021 or before,St. Olaf Choir,Soprano 2,S+,B,C,C,D,S+,,,,,D,D,A,,,,S+,A,,B,,C,B,S,B,C,A,S,St. Olaf Choir,Soprano 2,,B,D,D,A,,,D,,,B,S+,D,,A,C,A,C,B,S,St. Olaf Choir,Soprano 1,A,S+,B,C,D,C,D,,,,,,,,,C,Music - Other,,,,,,C,S+,S+,,,,,,,,,,,S,,C,,,
11/15/2023 22:58:00,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 2,S,S,A,C,B,B,A,,A,A,,,,,,,Education,,,,,B,A,A,A,,,,,,,A,A,A,A,S,A,A,A,A,A
11/16/2023 0:34:27,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,,,A,S+,D,B,A,,B,S+,B,A,A,,S+,D,S+,B,,C,Chapel Choir,Alto 1,S,D,D,B,,A,C,,,,,,,,,D,"Humanities, Education",,,,Fest this year is remarkably mid,A,,,,,,,,,,F,D,F,A,B,,A,,,
11/16/2023 8:23:17,2021 or before,St. Olaf Orchestra,N/A,S+,S,S,S,S,S+,S,S,S,S+,S,A,S+,S,S+,S,S+,B,S,S,S+,S,S+,S,S,S+,S+,S,St. Olaf Orchestra,N/A,S+,S,S,S,S,S+,S,S,S,S,A,S+,S,S+,S,S+,A,S,S+,S,St. Olaf Orchestra,N/A,,S,,,,,B,,S,S,,,,,,S,Music - Other,,,,,S,S,S,S,,,,,,,S,A,S,S,S,S,S,S,B,S
11/16/2023 9:01:04,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,S,D,A,S+,S+,S,B,,,S+,,,,,,,"Music - Vocal, Education",,,,"Dr Bob or the powers that be cut out six pages of tenor bass melody in O Holy Night, thats why i gave it a D",,,,,,,,,,,,,,,S+,,,,,
11/16/2023 10:10:14,2021 or before,Manitou Singers,Alto 2,S+,S,A,B,A,B,C,C,B,S+,C,C,S+,B,C,C,A,D,B,S,B,B,B,A,B,B,A,A,St. Olaf Choir,Alto 2,B,B,B,A,S,D,C,C,B,A,S,A,F,S+,S,B,A,A,A,A,St. Olaf Choir,Alto 2,B,S+,A,C,A,A,A,"for this section specifically maybe specify that we shouldn't rate songs that are from other choirs, also love and joy come to you is listed twice",,,,,,,,B,Nursing,,Liked this one better than 2022,I think there's a general consensus that this wasn't a very good christmas fest repertoire wise,,,A,S,B,,,,,,,,,,,A,,A,,,
11/16/2023 10:47:20,2021 or before,St. Olaf Orchestra,N/A,S+,C,C,B,C,A,A,B,C,S,C,B,C,B,C,A,A,A,B,A,S,B,B,S,B,B,C,S,St. Olaf Orchestra,N/A,S,C,C,C,C,B,B,C,C,B,B,A,C,S+,C,B,A,B,C,S,St. Olaf Orchestra,N/A,C,B,C,A,B,A,D,,C,C,,,,,,B,"Music - Other, Education",,,,,C,C,C,C,,,,,,,B,A,B,B,S,C,A,B,A,S
11/16/2023 10:50:09,2021 or before,Manitou Singers,Soprano 1,S+,S,B,C,C,S+,C,S+,A,S+,C,C,S+,C,C,C,S+,S+,S+,B,B,S+,B,S+,S+,B,A,S+,St. Olaf Choir,Soprano 1,S+,B,B,C,S,S,S+,B,A,B,S+,S,A,S+,S+,A,S+,B,B,S+,St. Olaf Choir,Soprano 1,S,S,B,D,D,D,B,,B,B,,,,,,B,Nursing,,,,,B,A,A,S+,,,,,,,C,C,C,C,S+,B,C,C,B,B
11/16/2023 10:50:41,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 2,S,S,S+,A,,B,B,,,,,,,,,,Music - Vocal,,,,,,,,,,,,,,,B,B,B,B,B,S+,,,,
11/16/2023 12:33:20,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapel Choir,Alto 2,S,S,B,A,,,,B,,,,,B,S,S+,B,S+,S+,S,S+,Chapel Choir,Alto 2,S+,S,S,A,S+,S+,A,,,,,,,,,S,"Music - Other, Humanities",,,,,A,,,,,,,,,,B,B,B,A,S+,,S+,,,
11/16/2023 12:39:59,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,A,A,S,C,A,C,B,,,,,,,,,,"Music - Vocal, Education",,,,,,,,,,,,,,,B,B,B,B,A,D,B,B,,
11/16/2023 16:54:52,2021 or before,Manitou Singers,Alto 1,B,B,B,A,A,B,B,S,A,S+,B,C,S+,,C,B,B,S+,B,B,A,B,C,A,A,B,B,S,Chapel Choir,Alto 1,C,B,C,A,B,A,S+,B,B,B,B,S,S,S+,S,B,S,S+,S,S,Chapel Choir,Alto 1,A,A,B,A,A,B,A,"Given Jonathan's email just now, I don't think we'll be performing Be Thou my Vision. Also, I didn't give any of the solo pieces ratings (excluding CHA) because I haven't heard them performed yet.",,,,,,,,B,Humanities,,I maintain that this was the best Fest program I've sung so far,,I'm the most blah about this program so far,A,,,,,,,,,,B,B,C,B,S,,B,,,
11/16/2023 19:12:30,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapel Choir,Alto 2,S,B,S,S+,B,B,S,,,,,,,,,,"Music - Vocal, Music - Other",,,,,C,S,,,,,,,,,,,,,S+,,S,,S+,S
11/16/2023 23:42:41,2021 or before,Manitou Singers,Alto 1,S+,C,A,B,S,S,,B,B,S,C,B,S+,S,C,S,B,S,S+,S,S+,S+,S,S+,S+,S,S+,S+,Chapel Choir,Alto 1,S+,B,B,S+,B,S,S,C,S+,S,C,A,B,S+,S+,A,S+,S,A,S+,Chapel Choir,Alto 1,S+,S+,A,S+,A,,B,,,,,,,,,A,"STEM, Humanities",,,,,S+,,,,,,,,,,B,B,B,S,S+,,S+,S+,,
11/18/2023 15:47:52,2021 or before,Manitou Singers,Soprano 1,B,B,C,C,S,S+,A,S+,A,A,B,A,S,A,A,B,S,A,S,A,S+,B,B,A,S,B,A,B,St. Olaf Choir,Soprano 1,B,B,A,A,S,A,A,B,A,A,C,S,B,S+,B,B,S,S,B,B,St. Olaf Choir,Soprano 1,S,B,B,C,B,A,A,,,,,,,,,B,STEM,,,,,,A,S+,B,,,,,,,B,B,B,B,B,,A,,,
11/21/2023 22:08:23,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,S+,S+,A,S+,S+,A,S+,,,,,,,,,,Fine Arts / Performing Arts,,,,,,,,,,,,,,,B,A,S+,S+,S+,S,S,S+,,
11/21/2023 22:10:21,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,B,A,C,S,S,S,S+,C,D,A,A,B,B,S,S+,A,S+,S+,S,S+,Cantorei,Soprano 1,S,C,C,A,B,D,S+,,S+,B,,,,,,A,Music - Other,,,carol of the atranger sweeps whatever this years carol collage is,cantorei piece 🥰🥰🥰🥰🥰,B,B,B,B,,,,,,,C,C,C,A,S+,B,B,B,A,B
11/21/2023 22:11:28,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S+,S+,S,A,A,S,A,,,,,,,,,,"STEM, Fine Arts / Performing Arts",,,,,,,,,,,,,,,A,,,,S+,S+,A,,,
11/21/2023 22:12:31,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,A,A,S+,C,S+,S,F,,,,,,,,,,"Music - Other, Humanities",,,,,,,,,,,,,,,B,A,C,A,A,A,A,,,
11/21/2023 22:12:35,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,S,A,S+,S,,,,S,S,B,,,C,,B,S,S+,S+,S,S+,Cantorei,Soprano 1,S,S+,S,B,A,A,B,,S,,,,,,,S+,STEM,,,,,,,,,,,,,,,S,S,,A,S+,,A,S,,
11/21/2023 22:14:49,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,A,B,A,A,C,A,S+,D,C,B,C,C,D,S+,S+,C,S,S+,D,A,St. Olaf Choir,Bass 2,A,B,D,C,F,B,S+,,,,,,,,,A,Music - Other,,,,,,C,S,S+,,,,,,,C,C,C,B,A,,B,,,
11/21/2023 22:17:29,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 1,A,S,S,B,S,B,C,,,,,,,,,,"STEM, Humanities, Psychology ",,,,,,,,,,,,,,,B,,,B,A,A,B,,,
11/21/2023 22:23:29,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,S,S+,B,C,A,B,B,,,S,,,,,,,Music - Other,,,,,,,,,,,,,,,A,B,B,C,A,,A,,,
11/21/2023 22:31:29,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S+,S+,A,S,A,A,B,,,,,,,,,,STEM,,,,,,,,,,,,,,,C,C,D,A,A,B,A,C,,
11/21/2023 22:33:34,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,A,A,B,B,A,S,S,B,B,B,B,A,B,A,S+,B,S+,S+,S,S+,St. Olaf Choir,Bass 1,S,S+,A,A,B,C,S,,B,,,,,,,A,Music - Vocal,,,,,,S,S+,S+,,,,,,,B,A,B,B,S+,,B,,,
11/21/2023 22:46:16,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 1,S+,A,A,D,A,C,S+,,B,B,,,,,,,I don't know,,,,,B,B,B,B,,,,,,,B,B,B,A,S,B,A,B,B,B
11/21/2023 22:50:31,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,,A,B,S+,,,,,,A,,,B,,,,A,B,,B,Chapel Choir,Alto 1,S,A,B,A,B,,B,,,,,,,,,A,STEM,,,,,S,,,,,,,,,,C,,,,A,,A,,,
11/21/2023 23:02:10,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 1,A,S+,A,A,,,,B,,D,,,D,,S+,A,A,A,S,S,Cantorei,Soprano 2,C,S,S+,D,S+,S,C,,A,,,,,,,B,Nursing,,,,,,,,,,,,,,,,,,,S,,A,,,
11/21/2023 23:13:42,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,S+,S,S+,S,S+,S+,S+,Nope!,,,,,,,,,Music - Other,,,,No! Just very happy I get to be apart of Fest this year!,,,,,,,,,,,S+,S,S+,S+,S+,S+,S+,,,
11/21/2023 23:30:59,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,,S+,S+,A,C,B,B,C,,,S+,,,,,,,"Music - Other, Fine Arts / Performing Arts",,,,,,,,,,,,,,,,,,,S+,,,,,
11/21/2023 23:50:02,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 1,S+,S,B,B,B,B,D,,,,,,,,,,I don't know,,,,,,,,,,,,,,,,,,,S,A,,,,
11/21/2023 23:58:42,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 2,S+,A,B,S+,C,S,D,,,S+,,,,,,,STEM,,,,,,,,,,,,,,,B,B,D,B,A,,A,A,,
11/22/2023 0:11:23,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Tenor 2,S+,A,C,A,A,A,S,It seems we've only practiced Pt. 1,,,,,,,,,"STEM, Humanities",,,,I just wish we had kept the original lyrics on Glorification ,,,,,,,,,,,S,A,C,B,D,,A,A,,
11/22/2023 0:22:15,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,S,C,B,A,B,B,F,such confusing questions. please test the survey before sending it out. ,,S+,,,,,,,Humanities,,,,,,,,,,,,,,,B,B,D,C,S,,S+,,,
11/22/2023 0:41:51,2021 or before,Chapel Choir,Bass 1,S+,A,C,C,D,B,B,D,D,S+,C,B,A,D,D,C,B,C,S+,B,S+,B,C,B,B,C,S+,S+,Other (Audience member),N/A,,,,,,,,,,,S+,,,,,,,,,S+,Chapel Choir,Bass 1,S+,A,S,D,C,C,B,,,,,,,,,,"STEM, Education",,,,2021 was the best!,A,,,,,,,,,,C,C,B,B,S+,,,,,
11/22/2023 7:14:45,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,A,B,B,S+,S,S,S,B,A,A,S,A,C,S+,A,B,S,B,A,S+,Chapel Choir,Soprano 1,S,S+,B,A,A,B,S,Hard to know about the other choirs songs especially since we don’t know which versions they are singing (2023),A,A,,,,,,B,STEM,,,,,S,A,A,A,,,,,,,B,B,B,B,S,A,B,B,A,S
11/22/2023 7:15:00,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,S,A,S+,F,A,S+,B,,,,,,,,,,STEM,,,,,,,,,,,,,,,B,,,A,A,A,,,,
11/22/2023 7:51:50,2022 (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 2,S,C,C,A,S,S,S+,B,B,A,B,A,C,A,S,B,S+,S+,A,S+,Chapel Choir,Soprano 2,S+,A,A,C,B,B,F,,A,S,,,,,,C,Humanities,,,,,S,S,S,S,,,,,,,D,C,D,D,S+,S,B,,S,S
11/22/2023 8:05:25,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Soprano 1,S,S,B,C,B,C,B,,,,,,,,,,Humanities,,,,,,,,,,,,,,,C,,,,S,D,C,,,
11/22/2023 8:24:18,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 2,S,S+,A,B,B,A,B,,,,,,,,,,STEM,,,,,,,,,,,,,,,,,,,,S,,,,
11/22/2023 8:40:29,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Olaf Orchestra,N/A,S+,A,S,S+,A,A,S,,S+,A,,,,,,,"STEM, Fine Arts / Performing Arts",,,,,A,A,S+,S+,,,,,,,A,A,S+,S+,S,A,S,A,S+,S+
11/22/2023 9:56:04,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viking Chorus,Bass 1,S,S+,S,S,S,S,A,,,S,,,,,,,Economics ,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2023 11:08:50,2021 or before,Manitou Singers,Soprano 1,S+,S+,S,B,A,S+,A,A,S,S+,B,B,S+,A,A,A,S+,B,S+,S+,S+,B,B,S+,S,B,A,S+,St. Olaf Choir,Soprano 2,A,A,B,S,S,A,A,B,S+,S,A,S+,B,S+,S+,B,S+,S+,A,S+,St. Olaf Choir,Soprano 2,S+,A,A,A,A,A,S,,,,,,,,,B,Music - Vocal,,,,i think this fest is better than last years’ music overall,,S+,S+,S+,,,,,,,B,B,B,B,S+,,B,,,
11/22/2023 11:58:04,2021 or before,Manitou Singers,Alto 1,A,S,A,C,B,B,C,S,A,S,B,B,S,A,A,A,B,A,B,B,A,A,A,C,A,C,S,S,Cantorei,Alto 1,S,B,B,A,A,S,B,B,S,A,B,A,D,B,S+,S,S,A,S,S,Cantorei,Alto 1,S,S,A,D,A,B,A,,S,B,,,,,,A,"STEM, Humanities",,,,"The change from 2021 to 2022 and 2023 in the number of songs that each choir gets has been frustrating. Yes, Ole Choir does have more rehearsal time than the rest of the choirs, but three songs versus one seems particularly unfair.",A,A,B,B,,,,,,,B,B,B,A,S,B,B,B,S,A
11/22/2023 12:10:52,2023 (This year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manitou Singers,Alto 1,S+,A,S,A,A,S,A,,,,,,,,,,STEM,,,,,,,,,,,,,,,A,A,A,A,S,S,S,,,
